1ms,*, 1.66kA, 0.31V\r\n    
2ms,*, 3.35kA, 0.54V\r\n    
3ms,*, 4.52kA, 0.64V\r\n    
4ms,*, 5.39kA, 0.70V\r\n    
5ms,*, 6.03kA, 0.77V\r\n    
6ms,*, 6.45kA, 0.84V\r\n    
7ms,*, 6.76kA, 0.94V\r\n    
8ms,*, 6.91kA, 1.02V\r\n    
9ms,*, 6.87kA, 1.17V\r\n   
10ms,*, 6.73kA, 1.26V\r\n   
11ms,*, 6.62kA, 1.24V\r\n   
12ms,*, 6.70kA, 1.14V\r\n   
13ms,*, 6.97kA, 1.02V\r\n   
14ms,*, 7.29kA, 0.91V\r\n   
15ms,*, 7.53kA, 0.93V\r\n   
16ms,*, 7.80kA, 0.88V\r\n   
17ms,*, 8.02kA, 0.81V\r\n   
18ms,*, 8.31kA, 0.76V\r\n   
19ms,*, 8.54kA, 0.77V\r\n   
20ms,*, 8.67kA, 0.78V\r\n   
21ms,*, 8.86kA, 0.80V\r\n   
22ms,*, 8.96kA, 0.82V\r\n   
23ms,*, 9.00kA, 0.82V\r\n   
24ms,*, 9.15kA, 0.79V\r\n   
25ms,*, 9.23kA, 0.76V\r\n   
26ms,*, 9.30kA, 0.76V\r\n   
27ms,*, 9.41kA, 0.75V\r\n   
28ms,*, 9.43kA, 0.75V\r\n   
29ms,*, 9.51kA, 0.76V\r\n   
30ms,*, 9.61kA, 0.78V\r\n   
31ms,*, 9.58kA, 0.80V\r\n   
32ms,*, 9.62kA, 0.80V\r\n   
33ms,*, 9.62kA, 0.80V\r\n   
34ms,*, 9.59kA, 0.76V\r\n   
35ms,*, 9.70kA, 0.73V\r\n   
36ms,*, 9.72kA, 0.73V\r\n   
37ms,*, 9.77kA, 0.73V\r\n   
38ms,*, 9.90kA, 0.74V\r\n   
39ms,*, 9.91kA, 0.74V\r\n   
40ms,*, 9.93kA, 0.74V\r\n   
41ms,*,10.00kA, 0.73V\r\n   
42ms,*, 9.97kA, 0.73V\r\n   
43ms,*,10.00kA, 0.71V\r\n   
44ms,*,10.07kA, 0.69V\r\n   
45ms,*,10.07kA, 0.69V\r\n   
46ms,*,10.18kA, 0.70V\r\n   
47ms,*,10.22kA, 0.70V\r\n   
48ms,*,10.23kA, 0.70V\r\n   
49ms,*,10.30kA, 0.71V\r\n   
50ms,*,10.27kA, 0.70V\r\n   
51ms,*,10.25kA, 0.70V\r\n   
52ms,*,10.28kA, 0.70V\r\n   
53ms,*,10.24kA, 0.69V\r\n   
54ms,*,10.29kA, 0.69V\r\n   
55ms,*,10.36kA, 0.69V\r\n   
56ms,*,10.34kA, 0.69V\r\n   
57ms,*,10.40kA, 0.69V\r\n   
58ms,*,10.42kA, 0.68V\r\n   
59ms,*,10.38kA, 0.68V\r\n   
60ms,*,10.42kA, 0.68V\r\n   
61ms,*,10.40kA, 0.68V\r\n   
62ms,*,10.40kA, 0.67V\r\n   
63ms,*,10.50kA, 0.67V\r\n   
64ms,*,10.49kA, 0.67V\r\n   
65ms,*,10.50kA, 0.67V\r\n   
66ms,*,10.55kA, 0.67V\r\n   
67ms,*,10.51kA, 0.67V\r\n   
68ms,*,10.51kA, 0.67V\r\n  
69ms,*,10.52kA, 0.66V\r\n   
70ms,*,10.49kA, 0.66V\r\n   
71ms,*,10.57kA, 0.66V\r\n   
72ms,*,10.60kA, 0.66V\r\n   
73ms,*,10.58kA, 0.66V\r\n   
74ms,*,10.64kA, 0.66V\r\n   
75ms,*,10.62kA, 0.66V\r\n   
76ms,*,10.59kA, 0.65V\r\n   
77ms,*,10.63kA, 0.66V\r\n   
78ms,*,10.57kA, 0.65V\r\n   
79ms,*,10.63kA, 0.65V\r\n   
80ms,*,10.69kA, 0.66V\r\n   
81ms,*,10.67kA, 0.65V\r\n   
82ms,*,10.73kA, 0.66V\r\n   
83ms,*,10.74kA, 0.65V\r\n   
84ms,*,10.68kA, 0.65V\r\n   
85ms,*,10.72kA, 0.65V\r\n   
86ms,*,10.68kA, 0.65V\r\n   
87ms,*,10.67kA, 0.65V\r\n   
88ms,*,10.76kA, 0.66V\r\n   
89ms,*,10.74kA, 0.65V\r\n   
90ms,*,10.75kA, 0.65V\r\n   
91ms,*,10.80kA, 0.65V\r\n   
92ms,*,10.74kA, 0.65V\r\n   
93ms,*,10.75kA, 0.65V\r\n   
94ms,*,10.73kA, 0.65V\r\n   
95ms,*,10.70kA, 0.64V\r\n   
96ms,*,10.77kA, 0.65V\r\n   
97ms,*,10.80kA, 0.65V\r\n   
98ms,*,10.79kA, 0.64V\r\n   
99ms,*,10.84kA, 0.65V\r\n  
100ms,*,10.81kA, 0.64V\r\n"